Date,1688.T,8001.T,ADM,AGRO,AGRO3.SA,BG,CF,DBA,FDP,INGR,KRBL.NS,MOS,NTR,VC2.SI,VFF,YAR.OL,Futures
2019-02-21,341.0,326.23126220703125,34.63433074951172,6.414272785186768,9.17273998260498,43.2999153137207,37.02178192138672,14.534892082214355,23.79119110107422,76.7155532836914,296.2342224121094,29.02126121520996,42.836700439453125,1.3292516469955444,9.850000381469727,224.68531799316406,1021.0
2019-02-22,350.0,324.8629150390625,34.569244384765625,6.414272785186768,9.155625343322754,41.91542434692383,37.089111328125,14.560957908630371,23.689191818237305,76.63372039794922,294.09130859375,28.260068893432617,42.852516174316406,1.3562418222427368,10.75,222.22303771972656,1019.0
2019-02-25,356.0,321.9652099609375,34.52043151855469,6.423168659210205,9.127103805541992,43.259437561035156,36.39899444580078,14.395885467529297,23.54469108581543,76.15094757080078,294.9764709472656,28.671287536621094,43.3823356628418,1.3629893064498901,9.899999618530273,223.14639282226562,1010.0
2019-02-26,356.0,322.2871398925781,34.430931091308594,6.423168659210205,9.104286193847656,42.79792785644531,36.3484992980957,14.369823455810547,23.81669044494629,76.27371215820312,315.473876953125,27.50763511657715,43.50885772705078,1.335999608039856,10.289999961853027,225.97801208496094,1036.5
2019-02-27,356.0,321.3212890625,34.67499923706055,6.369790554046631,9.17273998260498,42.93557357788086,36.483154296875,14.430639266967773,24.088682174682617,76.4782485961914,320.4118957519531,28.146329879760742,43.94380187988281,1.3562418222427368,9.890000343322754,224.80844116210938,1028.5
2019-02-28,354.0,321.64324951171875,34.57737731933594,6.325308799743652,9.041537284851074,42.9760627746582,35.51532745361328,14.282942771911621,23.52768898010254,75.6436767578125,327.9585876464844,27.358896255493164,43.05020523071289,1.3225045204162598,10.579999923706055,221.6689910888672,1039.5
2019-03-01,354.0,321.8847351074219,34.52043151855469,6.298619747161865,9.121399879455566,42.911285400390625,35.5826530456543,14.291632652282715,22.881698608398438,75.37366485595703,342.8658142089844,27.12266731262207,43.2400016784668,1.335999608039856,11.887999534606934,220.5609588623047,1028.5
2019-03-04,354.0,322.0456848144531,34.3658447265625,6.3519978523254395,9.121399879455566,42.75745391845703,35.414329528808594,14.187376022338867,23.08570098876953,75.02183532714844,342.8658142089844,26.965179443359375,43.58793258666992,1.3562418222427368,11.887999534606934,221.05345153808594,1044.0
2019-03-05,354.0,321.9652099609375,34.37398147583008,6.307516574859619,9.121399879455566,42.26356887817383,34.74104690551758,14.265565872192383,22.711702346801758,75.0709457397461,355.397216796875,26.15149688720703,42.96322250366211,1.369736909866333,11.887999534606934,220.31472778320312,1047.5
2019-03-06,347.0,321.9652099609375,34.2763557434082,6.129589080810547,9.184148788452148,41.30818176269531,34.71580123901367,14.196064949035645,22.295207977294922,74.08088684082031,347.89703369140625,25.595457077026367,42.75762176513672,1.3967262506484985,11.887999534606934,218.52955627441406,1062.5
2019-03-07,347.0,321.9652099609375,34.308895111083984,5.996143817901611,9.13851261138916,40.95194625854492,33.89104080200195,14.083121299743652,21.8872127532959,74.84182739257812,344.216796875,24.448339462280273,41.56354522705078,1.369736909866333,11.887999534606934,214.95924377441406,1054.0
2019-03-08,347.0,321.9652099609375,34.10549545288086,5.74704647064209,9.007309913635254,40.66856384277344,33.907875061035156,14.161312103271484,21.870216369628906,74.61273193359375,340.9092712402344,24.535911560058594,41.78495788574219,1.3764843940734863,11.887999534606934,211.5735626220703,1059.0
2019-03-11,347.0,323.0115661621094,34.854007720947266,5.844905853271484,9.098581314086914,41.81016159057617,34.87569808959961,14.109185218811035,22.3037109375,75.46365356445312,342.95904541015625,25.140113830566406,42.23569107055664,1.3899788856506348,13.710000038146973,209.29592895507812,1047.0
2019-03-12,352.0,325.3458557128906,34.910945892333984,5.880491256713867,9.127103805541992,42.10164260864258,35.136600494384766,14.187376022338867,22.397205352783203,75.50458526611328,343.33172607421875,25.10508918762207,42.465030670166016,1.3764843940734863,13.09000015258789,213.05091857910156,1048.5
2019-03-13,352.0,322.0456848144531,35.20383834838867,5.951661586761475,9.098581314086914,42.117835998535156,36.188594818115234,14.222129821777344,22.796703338623047,76.1836929321289,345.1485290527344,25.175142288208008,42.6310920715332,1.369736909866333,12.75,218.9604949951172,1059.5
